Loading checkpoint shards: 100%|██████████████████| 8/8 [00:16<00:00,  2.03s/it]
INFO:__main__:Tokenizer max length: 1000000000000000019884624838656
INFO:__main__:Loading datasets...
INFO:__main__:Train dataset length: 7473
INFO:__main__:Validation dataset length: 1319
INFO:__main__:Trainable: 432144384 | total: 9673850368 | Percentage: 4.4671%
/home/llm4math/miniconda3/envs/mathllm/lib/python3.12/site-packages/huggingface_hub/utils/_deprecation.py:100: FutureWarning: Deprecated argument(s) used in '__init__': dataset_text_field. Will not be supported from version '0.13.0'.

Deprecated positional argument(s) used in SFTTrainer, please use the SFTConfig to set these arguments instead.
  warnings.warn(message, FutureWarning)
/home/llm4math/miniconda3/envs/mathllm/lib/python3.12/site-packages/trl/trainer/sft_trainer.py:328: UserWarning: You passed a `dataset_text_field` argument to the SFTTrainer, the value you passed will override the one in the `SFTConfig`.
  warnings.warn(
[2024-12-10 03:59:50,839] [INFO] [real_accelerator.py:219:get_accelerator] Setting ds_accelerator to cuda (auto detect)
INFO:root:gcc -pthread -B /home/llm4math/miniconda3/envs/mathllm/compiler_compat -fno-strict-overflow -Wsign-compare -DNDEBUG -O2 -Wall -fPIC -O2 -isystem /home/llm4math/miniconda3/envs/mathllm/include -fPIC -O2 -isystem /home/llm4math/miniconda3/envs/mathllm/include -fPIC -c /tmp/tmpnaeegv4w/test.c -o /tmp/tmpnaeegv4w/test.o
INFO:root:gcc -pthread -B /home/llm4math/miniconda3/envs/mathllm/compiler_compat /tmp/tmpnaeegv4w/test.o -laio -o /tmp/tmpnaeegv4w/a.out
INFO:root:gcc -pthread -B /home/llm4math/miniconda3/envs/mathllm/compiler_compat -fno-strict-overflow -Wsign-compare -DNDEBUG -O2 -Wall -fPIC -O2 -isystem /home/llm4math/miniconda3/envs/mathllm/include -fPIC -O2 -isystem /home/llm4math/miniconda3/envs/mathllm/include -fPIC -c /tmp/tmpijl7lsfg/test.c -o /tmp/tmpijl7lsfg/test.o
INFO:root:gcc -pthread -B /home/llm4math/miniconda3/envs/mathllm/compiler_compat /tmp/tmpijl7lsfg/test.o -L/usr/local/cuda -L/usr/local/cuda/lib64 -lcufile -o /tmp/tmpijl7lsfg/a.out
INFO:__main__:Starting training...
[34m[1mwandb[0m: [33mWARNING[0m The `run_name` is currently set to the same value as `TrainingArguments.output_dir`. If this was not intended, please specify a different run name by setting the `TrainingArguments.run_name` parameter.
  0%|                                                   | 0/348 [00:00<?, ?it/s]`use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`.
                                                                                
{'loss': 2.2691, 'grad_norm': 0.880357027053833, 'learning_rate': 2e-09, 'epoch': 0.01}
{'loss': 2.1705, 'grad_norm': 0.8373454213142395, 'learning_rate': 1.06e-07, 'epoch': 0.45}
{'loss': 2.4055, 'grad_norm': 0.9520038962364197, 'learning_rate': 1.0799999999999999e-07, 'epoch': 0.46}
{'loss': 2.292, 'grad_norm': 0.8929389119148254, 'learning_rate': 1.0999999999999999e-07, 'epoch': 0.47}
{'loss': 2.2543, 'grad_norm': 0.8691002726554871, 'learning_rate': 1.12e-07, 'epoch': 0.48}
{'loss': 2.2258, 'grad_norm': 0.8483662009239197, 'learning_rate': 1.14e-07, 'epoch': 0.49}
{'loss': 2.1727, 'grad_norm': 0.8136959671974182, 'learning_rate': 1.16e-07, 'epoch': 0.5}
{'loss': 2.2489, 'grad_norm': 0.8797450661659241, 'learning_rate': 1.1799999999999998e-07, 'epoch': 0.5}
{'loss': 2.2757, 'grad_norm': 0.886075496673584, 'learning_rate': 1.2e-07, 'epoch': 0.51}
{'loss': 2.2116, 'grad_norm': 0.834191620349884, 'learning_rate': 1.2199999999999998e-07, 'epoch': 0.52}
{'loss': 2.2712, 'grad_norm': 0.8772387504577637, 'learning_rate': 1.24e-07, 'epoch': 0.53}
{'loss': 2.297, 'grad_norm': 0.9024425745010376, 'learning_rate': 1.26e-07, 'epoch': 0.54}
{'loss': 2.2075, 'grad_norm': 0.852722704410553, 'learning_rate': 1.28e-07, 'epoch': 0.55}
{'loss': 2.1841, 'grad_norm': 0.8458486199378967, 'learning_rate': 1.3e-07, 'epoch': 0.56}
{'loss': 2.253, 'grad_norm': 0.872646689414978, 'learning_rate': 1.32e-07, 'epoch': 0.56}
{'loss': 2.291, 'grad_norm': 0.9017322063446045, 'learning_rate': 1.34e-07, 'epoch': 0.57}
{'loss': 2.2263, 'grad_norm': 0.8794294595718384, 'learning_rate': 1.36e-07, 'epoch': 0.58}
{'loss': 2.4046, 'grad_norm': 0.9689363837242126, 'learning_rate': 1.3800000000000002e-07, 'epoch': 0.59}
{'loss': 2.3039, 'grad_norm': 0.9092205762863159, 'learning_rate': 1.4e-07, 'epoch': 0.6}
{'loss': 2.1663, 'grad_norm': 0.8207334876060486, 'learning_rate': 1.4199999999999997e-07, 'epoch': 0.61}
{'loss': 2.3032, 'grad_norm': 0.903454601764679, 'learning_rate': 1.44e-07, 'epoch': 0.62}
{'loss': 2.2255, 'grad_norm': 0.8756856918334961, 'learning_rate': 1.4599999999999998e-07, 'epoch': 0.62}
{'loss': 2.0899, 'grad_norm': 0.7879091501235962, 'learning_rate': 1.4799999999999998e-07, 'epoch': 0.63}
{'loss': 2.2478, 'grad_norm': 0.9056414365768433, 'learning_rate': 1.5e-07, 'epoch': 0.64}
{'loss': 2.2327, 'grad_norm': 0.8622560501098633, 'learning_rate': 1.5199999999999998e-07, 'epoch': 0.65}
{'loss': 2.3294, 'grad_norm': 0.9109163284301758, 'learning_rate': 1.54e-07, 'epoch': 0.66}
{'loss': 2.246, 'grad_norm': 0.8809483051300049, 'learning_rate': 1.56e-07, 'epoch': 0.67}
{'loss': 2.273, 'grad_norm': 0.9040206074714661, 'learning_rate': 1.5799999999999999e-07, 'epoch': 0.68}
{'loss': 2.34, 'grad_norm': 0.9184123277664185, 'learning_rate': 1.6e-07, 'epoch': 0.68}
{'loss': 2.2246, 'grad_norm': 0.8885962963104248, 'learning_rate': 1.62e-07, 'epoch': 0.69}
{'loss': 2.2213, 'grad_norm': 0.8607625961303711, 'learning_rate': 1.64e-07, 'epoch': 0.7}
{'loss': 2.282, 'grad_norm': 0.9026809930801392, 'learning_rate': 1.66e-07, 'epoch': 0.71}
{'loss': 2.1721, 'grad_norm': 0.8473556041717529, 'learning_rate': 1.68e-07, 'epoch': 0.72}
{'loss': 2.2627, 'grad_norm': 0.8855754137039185, 'learning_rate': 1.7000000000000001e-07, 'epoch': 0.73}
{'loss': 2.2273, 'grad_norm': 0.8790402412414551, 'learning_rate': 1.7199999999999998e-07, 'epoch': 0.74}
{'loss': 2.2795, 'grad_norm': 0.886387288570404, 'learning_rate': 1.7399999999999997e-07, 'epoch': 0.74}
{'loss': 2.2091, 'grad_norm': 0.8659522533416748, 'learning_rate': 1.76e-07, 'epoch': 0.75}
{'loss': 2.2893, 'grad_norm': 0.9107440114021301, 'learning_rate': 1.7799999999999998e-07, 'epoch': 0.76}
{'loss': 2.2102, 'grad_norm': 0.8763827085494995, 'learning_rate': 1.8e-07, 'epoch': 0.77}
{'loss': 2.1874, 'grad_norm': 0.8535304069519043, 'learning_rate': 1.82e-07, 'epoch': 0.78}
{'loss': 2.0463, 'grad_norm': 0.7754594683647156, 'learning_rate': 1.8399999999999998e-07, 'epoch': 0.79}
{'loss': 2.1326, 'grad_norm': 0.8096495270729065, 'learning_rate': 1.86e-07, 'epoch': 0.8}
{'loss': 2.202, 'grad_norm': 0.8594638705253601, 'learning_rate': 1.88e-07, 'epoch': 0.8}
{'loss': 2.2288, 'grad_norm': 0.8702430129051208, 'learning_rate': 1.8999999999999998e-07, 'epoch': 0.81}
{'loss': 2.1627, 'grad_norm': 0.8347002863883972, 'learning_rate': 1.92e-07, 'epoch': 0.82}
{'loss': 2.2678, 'grad_norm': 0.8786212205886841, 'learning_rate': 1.94e-07, 'epoch': 0.83}
{'loss': 2.1662, 'grad_norm': 0.8614814877510071, 'learning_rate': 1.96e-07, 'epoch': 0.84}
{'loss': 2.2842, 'grad_norm': 0.9105307459831238, 'learning_rate': 1.98e-07, 'epoch': 0.85}
{'loss': 2.2665, 'grad_norm': 0.8813984990119934, 'learning_rate': 2e-07, 'epoch': 0.86}
{'loss': 2.1902, 'grad_norm': 0.8589584231376648, 'learning_rate': 2.02e-07, 'epoch': 0.86}
{'loss': 2.1794, 'grad_norm': 0.8379307985305786, 'learning_rate': 2.0399999999999997e-07, 'epoch': 0.87}
{'loss': 2.2361, 'grad_norm': 0.8697894811630249, 'learning_rate': 2.06e-07, 'epoch': 0.88}
{'loss': 2.3108, 'grad_norm': 0.9146003127098083, 'learning_rate': 2.0799999999999998e-07, 'epoch': 0.89}
{'loss': 2.1315, 'grad_norm': 0.8281294703483582, 'learning_rate': 2.0999999999999997e-07, 'epoch': 0.9}
{'loss': 2.1564, 'grad_norm': 0.8501093983650208, 'learning_rate': 2.12e-07, 'epoch': 0.91}
{'loss': 2.2057, 'grad_norm': 0.8731604814529419, 'learning_rate': 2.1399999999999998e-07, 'epoch': 0.92}
{'loss': 2.2313, 'grad_norm': 0.8754534125328064, 'learning_rate': 2.1599999999999998e-07, 'epoch': 0.92}
{'loss': 2.1827, 'grad_norm': 0.8738992214202881, 'learning_rate': 2.18e-07, 'epoch': 0.93}
{'loss': 2.1814, 'grad_norm': 0.8623829483985901, 'learning_rate': 2.1999999999999998e-07, 'epoch': 0.94}
{'loss': 2.0261, 'grad_norm': 0.7664022445678711, 'learning_rate': 2.22e-07, 'epoch': 0.95}
{'loss': 2.1645, 'grad_norm': 0.8454834818840027, 'learning_rate': 2.24e-07, 'epoch': 0.96}
{'loss': 2.1387, 'grad_norm': 0.8466141223907471, 'learning_rate': 2.2599999999999999e-07, 'epoch': 0.97}
{'loss': 2.0921, 'grad_norm': 0.8188806176185608, 'learning_rate': 2.28e-07, 'epoch': 0.98}
{'loss': 2.2047, 'grad_norm': 0.8675841689109802, 'learning_rate': 2.3e-07, 'epoch': 0.98}
{'loss': 2.2582, 'grad_norm': 0.903744637966156, 'learning_rate': 2.32e-07, 'epoch': 0.99}
                                                                                
{'eval_loss': 2.1918492317199707, 'eval_runtime': 174.3422, 'eval_samples_per_second': 7.566, 'eval_steps_per_second': 0.241, 'epoch': 0.99}
{'loss': 4.3776, 'grad_norm': 1.698480486869812, 'learning_rate': 2.34e-07, 'epoch': 1.01}
{'loss': 2.1936, 'grad_norm': 0.8364941477775574, 'learning_rate': 2.3599999999999997e-07, 'epoch': 1.02}
{'loss': 2.122, 'grad_norm': 0.8014699816703796, 'learning_rate': 2.38e-07, 'epoch': 1.02}
{'loss': 2.1373, 'grad_norm': 0.8107084035873413, 'learning_rate': 2.4e-07, 'epoch': 1.03}
{'loss': 2.1243, 'grad_norm': 0.7971290349960327, 'learning_rate': 2.4199999999999997e-07, 'epoch': 1.04}
{'loss': 2.1858, 'grad_norm': 0.8480161428451538, 'learning_rate': 2.4399999999999996e-07, 'epoch': 1.05}
{'loss': 2.1809, 'grad_norm': 0.8413624167442322, 'learning_rate': 2.46e-07, 'epoch': 1.06}
{'loss': 2.2349, 'grad_norm': 0.7961562275886536, 'learning_rate': 2.48e-07, 'epoch': 1.07}
{'loss': 2.1409, 'grad_norm': 0.8338881134986877, 'learning_rate': 2.5e-07, 'epoch': 1.08}
{'loss': 2.1827, 'grad_norm': 0.7741053700447083, 'learning_rate': 2.52e-07, 'epoch': 1.08}
{'loss': 2.1008, 'grad_norm': 0.8846663236618042, 'learning_rate': 2.5399999999999997e-07, 'epoch': 1.09}
{'loss': 2.087, 'grad_norm': 0.8114646673202515, 'learning_rate': 2.56e-07, 'epoch': 1.1}
{'loss': 2.1714, 'grad_norm': 0.902215838432312, 'learning_rate': 2.58e-07, 'epoch': 1.11}
{'loss': 2.1746, 'grad_norm': 0.8781996369361877, 'learning_rate': 2.6e-07, 'epoch': 1.12}
{'loss': 2.1395, 'grad_norm': 0.7841419577598572, 'learning_rate': 2.62e-07, 'epoch': 1.13}
{'loss': 2.1194, 'grad_norm': 0.8770269155502319, 'learning_rate': 2.64e-07, 'epoch': 1.14}
{'loss': 2.0549, 'grad_norm': 0.8252801895141602, 'learning_rate': 2.66e-07, 'epoch': 1.14}
{'loss': 2.1509, 'grad_norm': 0.8134639859199524, 'learning_rate': 2.68e-07, 'epoch': 1.15}
{'loss': 2.1277, 'grad_norm': 0.8715149760246277, 'learning_rate': 2.7e-07, 'epoch': 1.16}
{'loss': 2.1318, 'grad_norm': 0.8893142938613892, 'learning_rate': 2.72e-07, 'epoch': 1.17}
{'loss': 2.1614, 'grad_norm': 0.8830137848854065, 'learning_rate': 2.74e-07, 'epoch': 1.18}
{'loss': 2.2178, 'grad_norm': 0.8884509801864624, 'learning_rate': 2.7600000000000004e-07, 'epoch': 1.19}
{'loss': 2.1171, 'grad_norm': 0.8497020602226257, 'learning_rate': 2.7800000000000003e-07, 'epoch': 1.2}
{'loss': 2.1419, 'grad_norm': 0.8779506087303162, 'learning_rate': 2.8e-07, 'epoch': 1.2}
{'loss': 2.1203, 'grad_norm': 0.9008932113647461, 'learning_rate': 2.8199999999999996e-07, 'epoch': 1.21}
{'loss': 2.2275, 'grad_norm': 1.1194355487823486, 'learning_rate': 2.8399999999999995e-07, 'epoch': 1.22}
{'loss': 2.1402, 'grad_norm': 0.8788496255874634, 'learning_rate': 2.8599999999999994e-07, 'epoch': 1.23}
{'loss': 2.157, 'grad_norm': 0.8623048663139343, 'learning_rate': 2.88e-07, 'epoch': 1.24}
{'loss': 2.3034, 'grad_norm': 1.1000999212265015, 'learning_rate': 2.9e-07, 'epoch': 1.25}
{'loss': 2.1516, 'grad_norm': 0.8949363231658936, 'learning_rate': 2.9199999999999997e-07, 'epoch': 1.26}
{'loss': 2.1973, 'grad_norm': 0.8593640327453613, 'learning_rate': 2.9399999999999996e-07, 'epoch': 1.26}
{'loss': 2.182, 'grad_norm': 0.8404145836830139, 'learning_rate': 2.9599999999999995e-07, 'epoch': 1.27}
{'loss': 2.1429, 'grad_norm': 0.95828777551651, 'learning_rate': 2.98e-07, 'epoch': 1.28}
{'loss': 2.1787, 'grad_norm': 0.8606496453285217, 'learning_rate': 3e-07, 'epoch': 1.29}
{'loss': 2.1843, 'grad_norm': 0.93986576795578, 'learning_rate': 3.02e-07, 'epoch': 1.3}
{'loss': 2.1997, 'grad_norm': 0.8473278880119324, 'learning_rate': 3.0399999999999997e-07, 'epoch': 1.31}
{'loss': 2.1728, 'grad_norm': 0.9673828482627869, 'learning_rate': 3.0599999999999996e-07, 'epoch': 1.32}
{'loss': 2.1215, 'grad_norm': 0.8958389759063721, 'learning_rate': 3.08e-07, 'epoch': 1.32}
{'loss': 2.1497, 'grad_norm': 0.8673720955848694, 'learning_rate': 3.1e-07, 'epoch': 1.33}
{'loss': 2.0958, 'grad_norm': 0.9214985370635986, 'learning_rate': 3.12e-07, 'epoch': 1.34}
{'loss': 2.1564, 'grad_norm': 0.7894490957260132, 'learning_rate': 3.14e-07, 'epoch': 1.35}
{'loss': 2.1187, 'grad_norm': 0.93443363904953, 'learning_rate': 3.1599999999999997e-07, 'epoch': 1.36}
{'loss': 2.2205, 'grad_norm': 0.9821026921272278, 'learning_rate': 3.18e-07, 'epoch': 1.37}
{'loss': 2.0752, 'grad_norm': 0.8333196043968201, 'learning_rate': 3.2e-07, 'epoch': 1.38}
{'loss': 2.1985, 'grad_norm': 0.9494003057479858, 'learning_rate': 3.22e-07, 'epoch': 1.38}
{'loss': 2.0646, 'grad_norm': 0.8788376450538635, 'learning_rate': 3.24e-07, 'epoch': 1.39}
{'loss': 2.1172, 'grad_norm': 0.865195631980896, 'learning_rate': 3.26e-07, 'epoch': 1.4}
{'loss': 2.0491, 'grad_norm': 0.843019962310791, 'learning_rate': 3.28e-07, 'epoch': 1.41}
{'loss': 2.0426, 'grad_norm': 0.7923594117164612, 'learning_rate': 3.3e-07, 'epoch': 1.42}
{'loss': 2.0313, 'grad_norm': 0.8001538515090942, 'learning_rate': 3.32e-07, 'epoch': 1.43}
{'loss': 2.0642, 'grad_norm': 0.8105286955833435, 'learning_rate': 3.34e-07, 'epoch': 1.44}
{'loss': 2.1358, 'grad_norm': 0.8801355361938477, 'learning_rate': 3.36e-07, 'epoch': 1.44}
{'loss': 2.0522, 'grad_norm': 0.9380713105201721, 'learning_rate': 3.38e-07, 'epoch': 1.45}
{'loss': 2.162, 'grad_norm': 0.8620834946632385, 'learning_rate': 3.4000000000000003e-07, 'epoch': 1.46}
{'loss': 2.1352, 'grad_norm': 0.8546934127807617, 'learning_rate': 3.42e-07, 'epoch': 1.47}
{'loss': 2.172, 'grad_norm': 0.8706064224243164, 'learning_rate': 3.4399999999999996e-07, 'epoch': 1.48}
{'loss': 2.0859, 'grad_norm': 0.8450347185134888, 'learning_rate': 3.4599999999999995e-07, 'epoch': 1.49}
{'loss': 2.1504, 'grad_norm': 0.870294451713562, 'learning_rate': 3.4799999999999994e-07, 'epoch': 1.5}
{'loss': 2.0598, 'grad_norm': 0.8611864447593689, 'learning_rate': 3.5e-07, 'epoch': 1.5}
{'loss': 2.0303, 'grad_norm': 0.8189624547958374, 'learning_rate': 3.52e-07, 'epoch': 1.51}
{'loss': 2.1112, 'grad_norm': 0.8455455899238586, 'learning_rate': 3.5399999999999997e-07, 'epoch': 1.52}
{'loss': 2.1388, 'grad_norm': 0.9056225419044495, 'learning_rate': 3.5599999999999996e-07, 'epoch': 1.53}
{'loss': 2.0024, 'grad_norm': 0.7889950275421143, 'learning_rate': 3.5799999999999995e-07, 'epoch': 1.54}
{'loss': 2.1146, 'grad_norm': 0.9135041832923889, 'learning_rate': 3.6e-07, 'epoch': 1.55}
{'loss': 1.9767, 'grad_norm': 0.8059876561164856, 'learning_rate': 3.62e-07, 'epoch': 1.56}
{'loss': 2.0069, 'grad_norm': 0.8689529299736023, 'learning_rate': 3.64e-07, 'epoch': 1.56}
{'loss': 2.0823, 'grad_norm': 0.9286109805107117, 'learning_rate': 3.6599999999999997e-07, 'epoch': 1.57}
{'loss': 2.0231, 'grad_norm': 0.7493425011634827, 'learning_rate': 3.6799999999999996e-07, 'epoch': 1.58}
{'loss': 2.0446, 'grad_norm': 0.8538837432861328, 'learning_rate': 3.7e-07, 'epoch': 1.59}
{'loss': 2.0788, 'grad_norm': 0.8823745250701904, 'learning_rate': 3.72e-07, 'epoch': 1.6}
{'loss': 2.1013, 'grad_norm': 0.8803433775901794, 'learning_rate': 3.74e-07, 'epoch': 1.61}
{'loss': 2.1227, 'grad_norm': 0.8988779187202454, 'learning_rate': 3.76e-07, 'epoch': 1.61}
{'loss': 2.1465, 'grad_norm': 0.8416111469268799, 'learning_rate': 3.7799999999999997e-07, 'epoch': 1.62}
{'loss': 2.0468, 'grad_norm': 0.9609857797622681, 'learning_rate': 3.7999999999999996e-07, 'epoch': 1.63}
{'loss': 1.9712, 'grad_norm': 0.895987868309021, 'learning_rate': 3.82e-07, 'epoch': 1.64}
{'loss': 1.9182, 'grad_norm': 0.7258575558662415, 'learning_rate': 3.84e-07, 'epoch': 1.65}
{'loss': 2.0324, 'grad_norm': 0.8572245240211487, 'learning_rate': 3.86e-07, 'epoch': 1.66}
{'loss': 1.9892, 'grad_norm': 0.8321292996406555, 'learning_rate': 3.88e-07, 'epoch': 1.67}
